
#S1 K x-ray emission rates
#N 17
#L Z  TOTAL  KL1  KL2  KL3  KM1  KM2  KM3  KM4  KM5  KN1  KN2  KN3  KN45  KO23  KO45  KP23
32  0.99511  1.1255e-006  0.30047  0.58285  2.3012e-007  0.03879  0.075871  7.1248e-005  0.0001028  2.1204e-008  0.00063309  0.0012149  0  0  0  0  
33  1.1427  1.3565e-006  0.2993  0.58023  2.8355e-007  0.039557  0.077188  8.2702e-005  0.00011911  2.923e-008  0.0012051  0.0023174  0  0  0  0  
34  1.3049  1.6246e-006  0.29811  0.57706  3.4639e-007  0.04031  0.078703  9.495e-005  0.00013656  3.9083e-008  0.0019113  0.0036784  0  0  0  0  
35  1.487  1.9368e-006  0.29725  0.57365  4.2166e-007  0.040956  0.079894  0.00010774  0.00015468  5.1111e-008  0.0027304  0.005259  0  0  0  0  
36  1.6866  2.3004e-006  0.29585  0.57036  5.0989e-007  0.041621  0.081167  0.00012131  0.00017378  6.5811e-008  0.0036582  0.0070377  0  0  0  0  
37  1.9058  2.7233e-006  0.29489  0.56721  6.1391e-007  0.042239  0.08238  0.00013574  0.00019414  8.6578e-008  0.0044023  0.0085423  0  0  0  0  
38  2.1441  3.2089e-006  0.29384  0.56435  7.3692e-007  0.042909  0.083627  0.00015112  0.00021548  1.1287e-007  0.0050605  0.0098458  0  0  0  0  
39  2.4048  3.7716e-006  0.29316  0.5618  8.7742e-007  0.043538  0.084789  0.00016717  0.00023786  1.4263e-007  0.0055348  0.010766  2.3786e-006  0  0  0  
40  2.6879  4.4272e-006  0.29242  0.55954  1.0417e-006  0.044123  0.08594  0.00018416  0.00026154  1.7709e-007  0.0059488  0.01157  6.2502e-006  0  0  0  
41  2.994  5.1437e-006  0.29192  0.55746  1.2325e-006  0.044724  0.087076  0.00020174  0.00028558  2.1577e-007  0.0062225  0.012091  1.3861e-005  0  0  0  
42  3.3277  5.9801e-006  0.29149  0.55534  1.4545e-006  0.045257  0.088079  0.00021967  0.00031073  2.6265e-007  0.0065571  0.012712  2.1186e-005  0  0  0  
43  3.6865  6.9171e-006  0.29106  0.55337  1.7062e-006  0.045789  0.088973  0.00023871  0.00033691  3.1737e-007  0.006871  0.013319  3.0273e-005  0  0  0  
44  4.0749  8.0002e-006  0.29056  0.55142  1.9951e-006  0.046259  0.090063  0.00025841  0.00036369  3.8038e-007  0.007156  0.013865  4.1179e-005  0  0  0  
45  4.4921  9.1939e-006  0.29029  0.54963  2.3152e-006  0.046749  0.090826  0.00027893  0.00039135  4.519e-007  0.007413  0.014359  5.4073e-005  0  0  0  
46  4.9403  1.0566e-005  0.29006  0.54795  2.6922e-006  0.047204  0.091695  0.00029998  0.00041981  5.3236e-007  0.0076109  0.014675  7.1049e-005  0  0  0  
47  5.4224  1.2098e-005  0.28972  0.54606  3.1167e-006  0.047617  0.092578  0.00032181  0.00044906  6.3071e-007  0.0078931  0.015251  8.6308e-005  0  0  0  
48  5.9368  1.3829e-005  0.28955  0.54406  3.6046e-006  0.048039  0.093316  0.00034446  0.00047938  7.4619e-007  0.0082199  0.015867  0.00010224  0  0  0  
49  6.4922  1.5742e-005  0.28927  0.54219  4.1434e-006  0.048366  0.093959  0.00036752  0.00050984  8.7798e-007  0.0085179  0.016481  0.00011953  0.00019901  0  0  
50  7.0894  1.7872e-005  0.28874  0.54024  4.7535e-006  0.048805  0.094648  0.00039114  0.00054165  1.0283e-006  0.00883  0.017082  0.00013739  0.00056281  0  0  
51  7.7262  2.0256e-005  0.28837  0.53843  5.436e-006  0.049054  0.095131  0.00041547  0.00057337  1.2011e-006  0.0091248  0.017667  0.00015622  0.0010574  0  0  
52  8.3971  2.2925e-005  0.2882  0.5359  6.2165e-006  0.049422  0.095867  0.00044063  0.00060617  1.4053e-006  0.00942  0.018268  0.0001759  0.0016708  0  0  
53  9.1212  2.5863e-005  0.28779  0.53392  7.0715e-006  0.049665  0.096369  0.00046595  0.00063917  1.6226e-006  0.0097027  0.018824  0.00019603  0.0023879  0  0  
54  9.89  2.912e-005  0.28736  0.53185  8.0182e-006  0.04995  0.096866  0.00049242  0.00067341  1.8807e-006  0.0099697  0.019373  0.00021709  0.0032053  0  0  
55  10.71  3.2678e-005  0.28664  0.53032  9.0846e-006  0.050231  0.097288  0.00051912  0.00070772  2.1661e-006  0.010233  0.019896  0.00023902  0.003884  0  0  
56  11.574  3.6719e-005  0.28684  0.52789  1.0273e-005  0.050456  0.097803  0.0005469  0.00074302  2.4883e-006  0.010497  0.020433  0.00026179  0.0044754  0  0  
57  12.489  4.1158e-005  0.28666  0.52608  1.1595e-005  0.050687  0.09825  0.00057573  0.00077912  2.8586e-006  0.010754  0.020947  0.00028586  0.0049165  2.2901e-006  0  
58  13.438  4.6137e-005  0.28649  0.52536  1.3089e-005  0.051048  0.098896  0.00060722  0.00081781  3.2296e-006  0.01082  0.021037  0.00029914  0.0045541  0  0  
59  14.457  1.003e-005  0.28706  0.52363  1.472e-005  0.051325  0.09933  0.00063776  0.00085634  3.6591e-006  0.01095  0.021305  0.00031819  0.0045653  0  0  
60  15.519  5.7544e-005  0.28675  0.5226  1.6542e-005  0.051616  0.099881  0.00066952  0.0008957  4.137e-006  0.011077  0.021523  0.00033702  0.0045687  0  0  
61  16.642  6.4115e-005  0.28723  0.52097  1.8568e-005  0.051857  0.10035  0.00070184  0.00093559  4.6629e-006  0.011195  0.021752  0.00035573  0.0045668  0  0  
62  17.828  7.1346e-005  0.28718  0.51995  2.0753e-005  0.052108  0.10079  0.00073422  0.0009754  5.2444e-006  0.011302  0.021931  0.00037468  0.0045489  0  0  
63  19.069  7.9293e-005  0.28738  0.51866  2.3232e-005  0.052338  0.10127  0.00076828  0.0010163  5.8893e-006  0.011401  0.022131  0.00039437  0.0045363  0  0  
64  20.383  8.7965e-005  0.28749  0.5171  2.5904e-005  0.052544  0.10165  0.00080165  0.0010563  6.6232e-006  0.011549  0.022421  0.000418  0.0048423  2.5266e-006  0  
65  21.75  9.7563e-005  0.28781  0.51632  2.8873e-005  0.052781  0.10207  0.00083724  0.0010988  7.3793e-006  0.011582  0.022437  0.00043356  0.0044965  0  0  
66  23.184  0.00010805  0.28813  0.51501  3.2134e-005  0.053011  0.10248  0.00087302  0.0011409  8.2428e-006  0.011672  0.022602  0.00045376  0.0044729  0  0  
67  24.703  0.00011946  0.28863  0.5137  3.5704e-005  0.053191  0.10282  0.00090878  0.0011824  9.185e-006  0.011743  0.02275  0.00047362  0.0044447  0  0  
68  26.278  0.00013205  0.28883  0.5126  3.9615e-005  0.053391  0.1032  0.00094528  0.0012254  1.0225e-005  0.011835  0.022871  0.00049395  0.0044219  0  0  
69  27.928  0.00014573  0.28932  0.51132  4.3935e-005  0.053567  0.10355  0.0009829  0.0012676  1.1351e-005  0.011888  0.022988  0.00051454  0.0043971  0  0  
70  29.656  0.00016051  0.28965  0.51018  4.8624e-005  0.053749  0.10386  0.0010217  0.0013117  1.2611e-005  0.01197  0.023132  0.00053547  0.0043701  0  0  
71  31.466  0.0001767  0.28983  0.5088  5.374e-005  0.053899  0.10424  0.0010583  0.0013538  1.4015e-005  0.012045  0.023327  0.00055997  0.0046367  2.4439e-006  0  
72  33.358  0.00019455  0.29018  0.50752  5.9326e-005  0.054049  0.10432  0.0010972  0.001397  1.5558e-005  0.012141  0.023532  0.00058546  0.0048983  6.2863e-006  0  
73  35.342  0.00021363  0.29031  0.5062  6.5419e-005  0.054157  0.10469  0.0011346  0.0014374  1.726e-005  0.012252  0.02374  0.00061174  0.0051554  1.1431e-005  0  
74  37.396  0.00021847  0.29067  0.50487  7.2067e-005  0.054284  0.10482  0.0011739  0.0014815  1.912e-005  0.012354  0.02396  0.00063938  0.0054097  1.7916e-005  0  
75  39.552  0.00025738  0.29101  0.50338  7.9388e-005  0.054383  0.10518  0.0012136  0.001522  2.1136e-005  0.012439  0.02417  0.00066722  0.0056558  2.5738e-005  0  
76  41.793  0.00028186  0.29144  0.502  8.7096e-005  0.054507  0.10528  0.0012514  0.0015649  2.3377e-005  0.012538  0.024406  0.00069581  0.0058981  3.4982e-005  0  
77  44.121  0.0003087  0.2917  0.50067  9.5646e-005  0.0546  0.10562  0.0012919  0.0016069  2.5838e-005  0.012647  0.024637  0.00072528  0.0060243  5.1291e-005  0  
78  46.547  0.00033794  0.29218  0.49928  0.00010506  0.054676  0.1057  0.001332  0.0016478  2.8509e-005  0.01274  0.024857  0.00075408  0.006299  6.1229e-005  0  
79  49.076  0.00036943  0.29261  0.4978  0.00011513  0.054752  0.10596  0.0013734  0.0016892  3.1441e-005  0.012837  0.025084  0.0007845  0.0065205  7.4986e-005  0  
80  51.691  0.00040355  0.29289  0.49641  0.00012613  0.054845  0.10621  0.0014142  0.0017314  3.4648e-005  0.012923  0.025323  0.00081638  0.0067903  8.6668e-005  0  
81  54.416  0.00044068  0.2933  0.49489  0.00013819  0.05491  0.1064  0.0014555  0.0017715  3.815e-005  0.013029  0.025544  0.00084718  0.0070751  9.9419e-005  6.2114e-005  
82  57.258  0.00048063  0.29376  0.49338  0.00015107  0.054962  0.10654  0.0014985  0.0018128  4.1951e-005  0.013099  0.025761  0.00088023  0.0073527  0.0001123  0.00017343  
83  60.2  0.00052492  0.29419  0.49186  0.00016512  0.055  0.10665  0.0015399  0.0018538  4.6097e-005  0.013189  0.02598  0.00091197  0.0076412  0.00012542  0.00032459  
84  63.239  0.00057085  0.29459  0.49036  0.00018043  0.055045  0.10674  0.0015813  0.0018944  5.0601e-005  0.013267  0.026202  0.00094403  0.0079223  0.00013884  0.00051234  
85  66.41  0.00062189  0.29499  0.48878  0.00019681  0.055082  0.10691  0.0016248  0.0019334  5.5564e-005  0.013341  0.026412  0.00097726  0.0081915  0.00015224  0.00073182  
86  69.692  0.00067727  0.29544  0.48715  0.00021466  0.0551  0.10704  0.0016673  0.0019715  6.0839e-005  0.013416  0.026632  0.0010102  0.0084659  0.00016602  0.00098434  
87  73.088  0.0007361  0.29594  0.48558  0.00023396  0.055111  0.10713  0.0017089  0.0020113  6.6769e-005  0.013491  0.026844  0.0010439  0.0087292  0.00018019  0.0011931  
88  76.582  0.00080045  0.29642  0.48406  0.00025489  0.055131  0.10721  0.0017524  0.0020501  7.2994e-005  0.013554  0.027056  0.0010786  0.0089969  0.00019496  0.0013763  
89  80.213  0.00087019  0.29696  0.48247  0.00027751  0.055128  0.10734  0.0017965  0.0020882  7.9913e-005  0.013614  0.027265  0.0011133  0.0092629  0.00020982  0.0015272  
90  83.972  0.00094555  0.29748  0.48087  0.00030189  0.055113  0.10754  0.0018399  0.0021245  8.741e-005  0.013671  0.027473  0.0011468  0.009515  0.00022484  0.0016684  
91  87.81  0.0010272  0.29814  0.47944  0.00032855  0.05513  0.10762  0.0018848  0.0021626  9.5547e-005  0.013734  0.027685  0.0011821  0.0097028  0.00023528  0.001624  
92  91.782  0.0011146  0.29875  0.47798  0.00035737  0.05512  0.10776  0.0019285  0.0021998  0.00010438  0.013783  0.027881  0.001217  0.0099039  0.00024776  0.0016583  
93  95.895  0.0012097  0.29939  0.47646  0.00038792  0.055102  0.10793  0.001973  0.0022358  0.00011387  0.013828  0.028083  0.0012514  0.010094  0.00026007  0.0016873  
94  100.1  0.0013138  0.30011  0.47505  0.0004216  0.055088  0.108  0.0020181  0.0022718  0.00012428  0.013877  0.028293  0.0012868  0.01025  0.00027054  0.0016245  
95  104.45  0.0014245  0.3008  0.47351  0.00045857  0.055057  0.10818  0.0020631  0.0023072  0.00013556  0.01391  0.028481  0.0013221  0.010426  0.00028261  0.0016438  
96  108.94  0.0015449  0.30155  0.47193  0.00049754  0.055014  0.10823  0.0021076  0.0023408  0.0001477  0.013944  0.028677  0.0013568  0.010621  0.0002965  0.0017487  
97  113.56  0.0016741  0.30223  0.47043  0.00053982  0.054951  0.1084  0.0021531  0.0023742  0.00016089  0.013975  0.028867  0.0013923  0.010779  0.00030822  0.001763  
98  118.28  0.0018152  0.30309  0.46897  0.00058589  0.054903  0.10847  0.0021982  0.0024078  0.00017526  0.014001  0.029049  0.0014271  0.010906  0.00031873  0.0016824  
99  123.16  0.0019666  0.30392  0.46736  0.00063495  0.054823  0.10864  0.0022434  0.0024359  0.00019065  0.014014  0.029239  0.0014623  0.011051  0.00033047  0.0016913  
100  128.15  0.0021311  0.30472  0.46586  0.00068826  0.054749  0.1087  0.0022887  0.0024737  0.00020741  0.014031  0.029419  0.0014967  0.01119  0.00034179  0.001698  
101  133.3  0.0023106  0.30555  0.46429  0.00074643  0.054651  0.10885  0.0023331  0.0024981  0.0002258  0.014036  0.029595  0.0015311  0.011328  0.00035409  0.0017029  
102  138.56  0.0024971  0.30651  0.46268  0.00080903  0.054546  0.10891  0.0023816  0.002526  0.00024538  0.014037  0.02977  0.0015654  0.011453  0.00036518  0.0017068  
103  143.98  0.0027087  0.30733  0.46103  0.0008765  0.054416  0.10904  0.0024239  0.0025559  0.0002667  0.014029  0.029941  0.0015995  0.011599  0.00037852  0.0018058  
104  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
105  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
106  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
107  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
108  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
109  149.54  0.0029289  0.3082  0.4594  0.00094888  0.054272  0.10913  0.0024675  0.0025812  0.00028955  0.014009  0.030111  0.001633  0.011736  0.00039253  0.0019011  
